,odometer,grade,price,litre,cost,date,tank,fueleff
0,10795,94,1.389,5.129,7.12,2016-06-14 00:00:00+00:00,33.53,
1,10967,94,1.449,5.185,7.51,2016-06-20 00:00:00+00:00,31.24,16.68
2,11129,94,1.444,4.273,6.17,2016-06-24 00:00:00+00:00,37.21,22.9
3,11288,94,1.459,4.786,6.98,2016-06-30 00:00:00+00:00,33.43,25.45
4,11448,94,1.429,4.742,6.78,2016-07-07 00:00:00+00:00,32.26,27.08
5,11601,91,1.429,4.4,6.29,2016-07-14 00:00:00+00:00,36.59,28.27
6,11762,94,1.449,5.068,7.34,2016-07-18 00:00:00+00:00,34.53,28.79
7,11937,94,1.409,4.424,6.23,2016-07-25 00:00:00+00:00,40.01,30.05
8,12114,94,1.349,5.338,7.2,2016-08-02 00:00:00+00:00,30.54,30.43
9,12277,84,1.189,4.821,5.73,2016-08-08 00:00:00+00:00,34.23,30.77
10,12442,94,1.389,4.909,6.82,2016-08-15 00:00:00+00:00,41.15,31.03
11,12644,91,1.419,5.307,7.53,2016-08-20 00:00:00+00:00,33.35,31.67
12,12821,94,1.459,4.693,6.85,2016-08-26 00:00:00+00:00,33.88,32.12
13,12980,87,1.229,4.871,5.99,2016-09-06 00:00:00+00:00,29.56,32.16
14,13124,87,1.289,4.669,6.02,2016-09-18 00:00:00+00:00,33.63,32.07
15,13281,87,1.259,4.691,5.91,2016-10-08 00:00:00+00:00,34.32,32.16
16,13442,87,1.159,4.958,5.75,2016-11-25 00:00:00+00:00,31.46,32.18
17,13598,87,1.189,4.733,5.63,2017-01-28 00:00:00+00:00,31.48,32.22
18,13747,87,1.259,4.538,5.71,2017-02-16 00:00:00+00:00,29.97,32.25
19,13883,87,1.309,4.666,6.11,2017-02-26 00:00:00+00:00,29.79,32.1
20,14022,87,1.329,4.682,6.22,2017-03-19 00:00:00+00:00,33.53,31.99
21,14179,87,1.349,4.932,6.65,2017-04-11 00:00:00+00:00,34.06,31.98
22,14347,87,1.325,4.788,6.34,2017-05-14 00:00:00+00:00,30.49,32.11
23,14493,87,1.329,4.782,6.37,2017-05-25 00:00:00+00:00,29.49,32.05
24,14634,87,1.284,4.321,5.57,2017-06-24 00:00:00+00:00,39.81,32.07
25,14806,87,1.349,5.352,7.22,2017-07-02 00:00:00+00:00,33.07,32.07
26,14983,87,1.339,4.637,6.21,2017-07-13 00:00:00+00:00,31.92,32.29
27,15131,87,1.289,4.228,5.45,2017-07-21 00:00:00+00:00,38.79,32.38
28,15295,87,1.309,5.022,6.57,2017-07-29 00:00:00+00:00,38.03,32.39
29,15486,87,1.329,5.203,6.91,2017-08-09 00:00:00+00:00,28.25,32.54
30,15633,87,1.369,4.53,6.2,2017-08-17 00:00:00+00:00,39.29,32.54
31,15811,87,1.409,4.829,6.8,2017-08-25 00:00:00+00:00,25.89,32.68
32,15936,87,1.339,3.467,4.64,2017-08-30 00:00:00+00:00,55.38,32.75
33,16128,87,1.379,5.302,7.32,2017-09-10 00:00:00+00:00,24.9,32.86
34,16260,87,1.349,3.845,5.19,2017-09-16 00:00:00+00:00,36.15,32.9
35,16399,87,1.329,4.335,5.76,2017-09-21 00:00:00+00:00,36.68,32.88
36,16558,87,1.339,4.727,6.33,2017-09-27 00:00:00+00:00,31.52,32.9
37,16707,87,1.339,4.252,5.69,2017-10-05 00:00:00+00:00,31.04,32.95
38,16839,87,1.299,4.465,5.8,2017-10-10 00:00:00+00:00,36.73,32.87
39,17003,87,1.369,4.885,6.82,2017-10-16 00:00:00+00:00,31.73,32.88
40,17158,87,1.389,4.958,6.89,2017-10-22 00:00:00+00:00,32.27,32.84
41,17318,87,1.369,4.426,6.06,2017-10-27 00:00:00+00:00,30.5,32.92
42,17453,87,1.459,4.405,6.43,2017-11-05 00:00:00+00:00,31.33,32.87
43,17591,87,1.379,4.627,6.38,2017-11-25 00:00:00+00:00,27.02,32.8
44,17716,87,1.349,3.633,4.9,2017-12-03 00:00:00+00:00,39.36,32.83
45,17859,87,1.319,4.747,6.26,2017-12-08 00:00:00+00:00,27.81,32.77
46,17991,87,1.409,3.982,5.61,2018-01-06 00:00:00+00:00,31.89,32.77
47,18118,87,1.359,4.057,5.51,2018-01-21 00:00:00+00:00,32.54,32.75
48,18250,87,1.489,4.144,6.17,2018-03-01 00:00:00+00:00,36.2,32.73
49,18400,87,1.559,4.396,6.85,2018-03-24 00:00:00+00:00,25.93,32.76
50,18514,87,1.479,3.734,5.52,2018-04-09 00:00:00+00:00,31.87,32.72
51,18633,87,1.559,4.281,6.67,2018-04-21 00:00:00+00:00,33.64,32.63
52,18777,87,1.529,4.253,6.5,2018-04-24 00:00:00+00:00,38.56,32.66
53,18941,87,1.529,4.554,6.96,2018-05-04 00:00:00+00:00,33.38,32.72
54,19093,87,1.619,4.114,6.66,2018-05-14 00:00:00+00:00,29.65,32.79
55,19215,87,1.589,4.0,6.36,2018-05-30 00:00:00+00:00,33.0,32.75
56,19347,87,1.499,4.075,6.11,2018-06-11 00:00:00+00:00,32.64,32.74
57,19480,87,1.469,4.03,5.92,2018-06-18 00:00:00+00:00,34.24,32.75
58,19618,87,1.519,4.212,6.4,2018-07-09 00:00:00+00:00,33.48,32.75
59,19759,87,1.499,4.43,6.64,2018-07-16 00:00:00+00:00,34.99,32.73
60,19914,87,1.499,4.421,6.63,2018-07-24 00:00:00+00:00,34.83,32.77
61,20068,87,1.509,3.592,5.42,2018-08-05 00:00:00+00:00,41.2,32.9
62,20216,87,1.439,4.982,7.17,2018-08-18 00:00:00+00:00,,32.84
